Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
simass,simass,SImon.simass,Sea-Ice Mass,sea_ice_amount,,kg m-2,5917184e-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title - CMIP6: Sea-Ice Mass per Area, CMIP7: Sea-Ice Mass",CMIP6 endorsement [SIMIP],1,Existing physical parameter
simassacrossline,simassacrossline,SImon.simassacrossline,Sea-Ice Mass Flux Through Straits,sea_ice_transport_across_line,,kg s-1,7309e7f8-7a68-11e6-8db2-ac72891c3257,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Sea Mass Area Flux Through Straits, CMIP7: Sea-Ice Mass Flux Through Straits",CMIP6 endorsement [SIMIP],1,Existing physical parameter
simpconc,simpconc,"SImon.simpconc, SIday.simpconc",Fraction of Sea Ice Covered by Melt Pond,area_fraction,,%,590eb1ea-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Percentage Cover of Sea Ice by Meltpond, CMIP7: Fraction of Sea Ice Covered by Melt Pond",CMIP6 endorsement [SIMIP],1,Existing physical parameter
simpeffconc,simpeffconc,"SImon.simpeffconc, SIday.simpeffconc",Fraction of Sea Ice Covered by Effective Melt Pond,area_fraction,,%,80ab7255-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
simprefrozen,simprefrozen,"SImon.simprefrozen, SIday.simprefrozen",Thickness of Refrozen Ice on Melt Pond,thickness_of_ice_on_sea_ice_melt_pond,,m,591523cc-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
simpthick,simpthick,"SImon.simpthick, SIday.simpthick",Melt Pond Depth,sea_ice_melt_pond_thickness,,m,aa9073c2-1b36-11e6-a696-35cd2d8034df,si,"CHANGE SINCE CMIP6 in Name and Title and Description - CMIP6: simpmass and Meltpond Mass per Unit Area (as Depth), CMIP7: simpthick and Melt Pond Depth",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sino3,sino3,"SIday.sino3, SImon.sino3",Dissolved Nitrate Amount in Sea Ice,sea_ice_mole_content_of_nitrate,mole_amount_of_nitrate_in_sea_ice,mol m-2,f86eb6cf-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sipr,sipr,SImon.sipr,Rainfall Rate over Sea Ice,rainfall_flux,,kg m-2 s-1,59138238-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sirdgconc,sirdgconc,"SImon.sirdgconc, SIday.sirdgconc",Fraction of Ridged Sea Ice,area_fraction,,%,590dfb2e-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Percentage Cover of Sea Ice by Ridging, CMIP7: Fraction of Ridged Sea Ice",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sirdgthick,sirdgthick,"SImon.sirdgthick, SIday.sirdgthick",Ridged Ice Thickness,sea_ice_thickness,,m,5914eb78-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisali,sisali,"SImon.sisali, SIday.sisali",Sea-Ice Salinity,sea_ice_salinity,,1.00E-03,5913e674-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Units and Description - CMIP6: Sea Ice Salinity and 1, CMIP7: Sea-Ice Salinity and 1E-03",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisaltmass,sisaltmass,"SImon.sisaltmass, SIday.sisaltmass",Mass of Salt in Sea Ice,sea_ice_mass_content_of_salt,,kg m-2,590c7920-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Mass of Salt in Sea Ice per Area, CMIP7: Mass of Salt in Sea Ice",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sishearvel,sishearvel,SImon.sishearvel,Maximum Shear of Sea-Ice Velocity Field,maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_strain_rate,,s-1,590d70b4-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sishevel, CMIP7: sishearvel",CMIP6 endorsement [SIMIP],1,Existing physical parameter
